Task,Found_in_Logs,AI_Coder,Found_in_Log1,Found_in_Log2,Evidence
TICKET-017_soil-tissue-test-integration-3.1,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-3.2,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-3.3,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-10.1,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-10.2,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-11.1,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-11.2,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-12.1,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-12.2,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-1.1,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-1.2,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-1.3,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-2.1,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-2.2,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-2.3,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-3.1,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-3.2,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-3.3,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-10.1,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-10.2,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-11.1,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-11.2,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-12.1,NO,NONE,NO,NO,
TICKET-018_tillage-practice-recommendations-12.2,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-1.1,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-1.2,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-1.3,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-2.1,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-2.2,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-2.3,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-3.1,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-3.2,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-3.3,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-10.1,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-10.2,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-11.1,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-11.2,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-12.1,NO,NONE,NO,NO,
TICKET-009_weather-impact-analysis-12.2,NO,NONE,NO,NO,
TICKET-007_nutrient-deficiency-detection-1.1,YES,Qwen,YES,NO,"Line 208008: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-1.1 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-1.2,YES,Qwen,YES,NO,"Line 208010: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-1.2 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-1.3,YES,Qwen,YES,NO,"Line 208012: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-1.3 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-2.1,YES,Qwen,YES,NO,"Line 208014: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-2.1 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-2.2,YES,Qwen,YES,NO,"Line 208016: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-2.2 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-2.3,YES,Qwen,YES,NO,"Line 208018: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-2.3 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-3.1,YES,Qwen,YES,NO,"Line 208020: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-3.1 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-3.2,YES,Qwen,YES,NO,"Line 208022: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-3.2 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-3.3,YES,Qwen,YES,NO,"Line 208024: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-3.3 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-4.1,YES,Qwen,YES,NO,"Line 208026: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-4.1 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-4.2,YES,Qwen,YES,NO,"Line 208028: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-4.2 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-4.3,YES,Qwen,YES,NO,"Line 208030: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-4.3 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-5.1,YES,Qwen,YES,NO,"Line 208032: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-5.1 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-5.2,YES,Qwen,YES,NO,"Line 208034: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-5.2 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-5.3,YES,Qwen,YES,NO,"Line 208036: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-5.3 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-6.1,YES,Qwen,YES,NO,"Line 208038: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-6.1 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-6.2,YES,Qwen,YES,NO,"Line 208040: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-6.2 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-6.3,YES,Qwen,YES,NO,"Line 208042: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-6.3 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-7.1,YES,Qwen,YES,NO,"Line 208044: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-7.1 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-7.2,YES,Qwen,YES,NO,"Line 208046: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-7.2 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
TICKET-007_nutrient-deficiency-detection-7.3,YES,Qwen,YES,NO,"Line 208048: 2025-09-27 22:37:54,615 - INFO - ✅ Task TICKET-007_nutrient-deficiency-detection-7.3 is checked in checklist - marking as completed; Line 207280: 2025-09-27 19:51:13,729 - INFO - 🤖 Using Qwen execution mode for task: TICKET-005_crop-type-filtering-7.2"
